A_dialog_0,B_dialog_0,A_dialog_1,A_emotion_0,A_emotion_1
我們有我們的寶寶們。,嗯。,哦，我們有我們的寶寶了。,驚訝,開心
嗨托比！,嗨鮑比。,嗨，其實我叫鮑勃，你好，你工作到這麼晚，可否告訴我，這裡是陳德雷克大樓嗎？,開心,中性
嗨鮑比。,嗨，其實我叫鮑勃，你好，你工作到這麼晚，可否告訴我，這裡是陳德雷克大樓嗎？,嗯嗯。嗯，沒錯，就在那裡，就在那裡。嗯，可以問我為什麼嗎？,中性,中性
嗨，其實我叫鮑勃，你好，你工作到這麼晚，可否告訴我，這裡是陳德雷克大樓嗎？,嗯嗯。嗯，沒錯，就在那裡，就在那裡。嗯，可以問我為什麼嗎？,我想跟那個混蛋說句話，看看他有什麼問題。,中性,憤怒
嗯嗯。嗯，沒錯，就在那裡，就在那裡。嗯，可以問我為什麼嗎？,我想跟那個混蛋說句話，看看他有什麼問題。,好吧，Bob聽著，是我讓你沒能得到這份工作。,中性,傷心
我想跟那個混蛋說句話，看看他有什麼問題。,好吧，Bob聽著，是我讓你沒能得到這份工作。,託比不。,憤怒,傷心
好吧，Bob聽著，是我讓你沒能得到這份工作。,託比不。,嗨鮑勃！,傷心,傷心
託比不。,嗨鮑勃！,嗨菲比！我可不是要替他擦屁股，你現在說什麼都會讓我更生氣地把事情弄得更糟，跟錢德勒有關係！,傷心,憤怒
謝謝妳。噢喬伊，看吧，這嬰兒床真可愛呢！,我在大街拾到了。,你是認真的嗎──真的嗎！？竟然還這麼完好。,開心,驚訝
我在大街拾到了。,你是認真的嗎──真的嗎！？竟然還這麼完好。,嗯。,開心,中性
你是認真的嗎──真的嗎！？竟然還這麼完好。,嗯。,哇！哇！被被底下到底有什麼東西呢？,驚訝,驚訝
嗯。,哇！哇！被被底下到底有什麼東西呢？,我不知道。,中性,中性
哇！哇！被被底下到底有什麼東西呢？,我不知道。,它在動。,驚訝,恐懼
我不知道。,它在動。,噁心。,中性,噁心
它在動。,噁心。,仍然是──牠有尾巴！快點拉出來！快點拉出來！」。,恐懼,恐懼
噁心。,仍然是──牠有尾巴！快點拉出來！快點拉出來！」。,哎呀！哎呀！好！好！,噁心,恐懼
我們徹夜談了大半夜，發現彼此之所以會如此憤怒，是因為彼此間仍有感情在。所以，我決定要好好面對自己，好好處理這段感情，讓心結解開，不再讓它影響我們的生活。,哦，就說吧，Kyle!,我們再試一次。,傷心,開心
她的哭鬧與時時刻刻討關注的行徑呢？!,我會去努力改善。,記得沒錯，正因你變化多端。,憤怒,憤怒
你知道他尿尿的時候會哼哼唱唱嗎？,我知道。,這句英文句子翻譯成繁體中文的意思是：這件事情讓他想起了碗，但無論如何都無所謂了。,憤怒,噁心
我知道。,這句英文句子翻譯成繁體中文的意思是：這件事情讓他想起了碗，但無論如何都無所謂了。,我們非常抱歉。,中性,傷心
這件事情讓他想起了碗，但無論如何都無所謂了。,我們非常抱歉。,沒問題，我們不用你。其實我已經算放過他了。,噁心,憤怒
抱歉。唉，菲比，妳說的沒錯，她就是那樣。嗯，她總是那麼急著想當英雄，結果卻總是搞得一團糟。,哦，你知道嗎，他一邊做別的事還一邊哼哼唱唱。,是的，我們少了他們反而好一點。,傷心,憤怒
哦，你知道嗎，他一邊做別的事還一邊哼哼唱唱。,是的，我們少了他們反而好一點。,而且你知道，就算他們又分手了，你還是不要讓他進你的悲慘男人俱樂部！。,中性,憤怒
是的，我們少了他們反而好一點。,而且你知道，就算他們又分手了，你還是不要讓他進你的悲慘男人俱樂部！。,失婚男子協會。,憤怒,傷心
這是完全你的錯！,是我的錯？！你恐嚇法官！。,哎呀，你把法院速記員機器裡的紙張都扯掉了呢！,憤怒,憤怒
對一般常人來說，情況糟糕，但對於錢德勒來說，可就慘了！,我知道了！而且他簡直瘋了！我現在也找不到他！,你打算怎麼辦？。,恐懼,中性
我知道了！而且他簡直瘋了！我現在也找不到他！,你打算怎麼辦？。,好吧，我再也不聽你的話了，這可確定了！,恐懼,憤怒
你知道嗎？去簽下去，它可能對你造成什麼傷害呢？,瑞秋說：「她說了！」。,好啦，瑞秋不在啊！,中性,憤怒
我的兒子正要誕生，我本應該在場，你知道，而不是被困在衣櫃裡和你一起。,我所愛的女人今天要生了，我焦急得跟你一樣。,不、不、相信我。,憤怒,憤怒
天天都是女同志日。,太棒了。,你想要我解釋什麼呢？如果沒有特定要我解釋的部份，我無法提供任何解釋。,中性,中性
太棒了。,你想要我解釋什麼呢？如果沒有特定要我解釋的部份，我無法提供任何解釋。,我意思是，由於我在成長的過程中，你知道我的爸爸離開，母親過世，繼父又入獄，我幾乎沒有足夠的父母親留下，能夠拼湊出一個完整的一個。,開心,傷心
嗨，凱莉，你好嗎？,我行得很好呢！老天爺蒂芙妮，你聞起來真好香！,這是我的新香水，歡迎你靠近聞一聞，就在我們能親密接觸的地方。,中性,中性
我行得很好呢！老天爺蒂芙妮，你聞起來真好香！,這是我的新香水，歡迎你靠近聞一聞，就在我們能親密接觸的地方。,哎呀，你知道喬伊，你生病了！,開心,噁心
這是我的新香水，歡迎你靠近聞一聞，就在我們能親密接觸的地方。,哎呀，你知道喬伊，你生病了！,這可惡極了！,中性,噁心
哎呀，你知道喬伊，你生病了！,這可惡極了！,我不想讀這個！,噁心,噁心
丹妮爾！嗨！-大家好，這是丹妮爾。-丹妮爾。-大家好，丹妮爾。,你好。 你好。,你在這兒做什麼呢？,中性,驚訝
她離開你，不是因為另結了新歡的女人，而是因為她喜歡女人。,好一點點，我以為十二樓那間昏迷不醒的男人沒聽見你叫。,那接下來呢？,中性,中性
好一點點，我以為十二樓那間昏迷不醒的男人沒聽見你叫。,那接下來呢？,與卡羅爾的第一次約會經驗是。,憤怒,中性
與卡羅爾的第一次約會經驗是。,什麼事？,我的。,中性,中性
什麼事？,我的。,在場嗎？ 哦，我明白了，我誤會了，其實你問的是Carol在不在場，對吧？,中性,驚訝
在場嗎？ 哦，我明白了，我誤會了，其實你問的是Carol在不在場，對吧？,你這輩子只和一個——咦。,天啊，小子，打起曲棍球來可真是個大錯誤啊！今晚本來可以做很多事呢！,驚訝,驚訝
你好。大家可有什麼事呢？,哦，已經關門了，克里斯交給我把門鎖上的鑰匙，有什麼問題嗎？,我的婚姻，我認為我的婚姻已經到了盡頭。,中性,傷心
哦，已經關門了，克里斯交給我把門鎖上的鑰匙，有什麼問題嗎？,我的婚姻，我認為我的婚姻已經到了盡頭。,哎呀！怎麼了？,傷心,驚訝
我的婚姻，我認為我的婚姻已經到了盡頭。,哎呀！怎麼了？,因為卡羅兒是女同性戀者，而我並不是。而且顯然不是一種混搭組合。,傷心,傷心
哎呀！怎麼了？,因為卡羅兒是女同性戀者，而我並不是。而且顯然不是一種混搭組合。,天呀！我不敢相信！噢，你那可憐的兔子。,驚訝,驚訝
因為卡羅兒是女同性戀者，而我並不是。而且顯然不是一種混搭組合。,天呀！我不敢相信！噢，你那可憐的兔子。,我是個傻瓜。,傷心,噁心
我指的是應該看下去，我指的是卡羅爾和我們倆就出去了，而她會看到一位美麗的女人，而且她會看向她，而我則會想，天啊，我的妻子真酷！。,哎呀！你覺得蘇珊那個人就是她的情人嗎？,好啦，現在我做到了！。,傷心,驚訝
哎呀！你覺得蘇珊那個人就是她的情人嗎？,好啦，現在我做到了！。,我很抱歉。,中性,傷心
好啦，現在我做到了！。,我很抱歉。,七年。,驚訝,傷心
沒問題，那我就先離開了。,你說什麼？我沒說什麼。,嗯，但這不是相信一個人的臉孔。,憤怒,憤怒
茱莉。,什麼事啊？！,好啦！你好！,中性,驚訝
什麼事啊？！,好啦！你好！,你和朱莉在一起嗎？,驚訝,中性
好啦！你好！,你和朱莉在一起嗎？,看，當初開始是我只是想跟她好，因為她是我兄弟的女友。,驚訝,中性
然後，一件事引出了另一件事，不知不覺間，我們竟已經來到了......購物了。,哎呀！哎呀！,親愛的，等等我。我們才做一次而已，對我而言，並沒有什麼意義。,中性,傷心
哎呀！哎呀！,親愛的，等等我。我們才做一次而已，對我而言，並沒有什麼意義。,嗯，沒錯。,驚訝,憤怒
親愛的，等等我。我們才做一次而已，對我而言，並沒有什麼意義。,嗯，沒錯。,真的，瑞秋，我整整都在想著你。,傷心,傷心
我絕沒有想讓你發現這件事！。,哎呀，請你別這樣說，你不是故意的。,那句話並不正確。,傷心,憤怒
哎呀，請你別這樣說，你不是故意的。,那句話並不正確。,原來你只是巧合間把這句英文片語留在這裡呢。,憤怒,憤怒
那句話並不正確。,原來你只是巧合間把這句英文片語留在這裡呢。,你曾想過我可能就是那麼笨嗎？。,憤怒,憤怒
原來你只是巧合間把這句英文片語留在這裡呢。,你曾想過我可能就是那麼笨嗎？。,沒問題，Rick。我只是想知道，你覺得她跟她一起去，有沒有比自己一個人去更值得？,憤怒,傷心
你曾想過我可能就是那麼笨嗎？。,沒問題，Rick。我只是想知道，你覺得她跟她一起去，有沒有比自己一個人去更值得？,嗯！,憤怒,驚訝
嗯！,我無法說。,為什麼呢？！,驚訝,驚訝
好的，我知道了，詹姆斯·布洛林是妳寶寶的爹。,詹姆斯·布洛林(James Brolin)是芭芭拉·史翠珊(Barbara Streisand)的丈夫。,什麼事啊？！我可沒這樣對妳說過啊！,中性,驚訝
哎呀，這人生呀！哎呀，可不，錢德勒的可就更糟了。,哎呀，記得那些東西一定很酷吧！我可沒過什麼前世今生的記憶呢。,當然不會甜心，你剛剛才剛起步。,傷心,中性
我們達成協議了！耶，妳答應了！溫蒂！溫蒂！溫蒂！。,請問誰？,我把錢包交給了溫蒂，她有她的方式，不需要我多說什麼。,憤怒,傷心
再過3秒反應爐就要爆炸了，我們根本逃不掉！,你必須趕緊逃離這裡！救命！,不行！我不會離開你！,恐懼,恐懼
你必須趕緊逃離這裡！救命！,不行！我不會離開你！,別擔心我，我是機器人！我是個機器而已！。,恐懼,傷心
不行！我不會離開你！,別擔心我，我是機器人！我是個機器而已！。,你可不是！不是有我這種人！。,恐懼,憤怒
別擔心我，我是機器人！我是個機器而已！。,你可不是！不是有我這種人！。,天哪。,傷心,驚訝
你可不是！不是有我這種人！。,天哪。,什麼事？,憤怒,中性
天哪。,什麼事？,我是。,驚訝,中性
什麼事？,我是。,好啊，你真棒！好吧，我們從這裡開始吧。,中性,開心
我是。,好啊，你真棒！好吧，我們從這裡開始吧。,當然不是，我當時在演技上真是使盡渾身解數。,中性,開心
好啊，你真棒！好吧，我們從這裡開始吧。,當然不是，我當時在演技上真是使盡渾身解數。,嗯，我也以為自己還行。,開心,開心
當然不是，我當時在演技上真是使盡渾身解數。,嗯，我也以為自己還行。,嗯，你很棒。嗯，你只是沒有我好。,開心,中性
嗯，我也以為自己還行。,嗯，你很棒。嗯，你只是沒有我好。,我知道了，我認為現在已經足夠了。嗯，我不想太過分排練。,開心,中性
我不敢相信羅斯已經走了，這真是太令人傷心了。,我不知道你跟羅斯這麼要好。,我們雖不是同一班同學，但有過一堂課共同上課過。他是個很棒的人，對科學話題會侃侃而談，滔滔不絕，令我印象深刻，一直記得他。,傷心,傷心
我不知道你跟羅斯這麼要好。,我們雖不是同一班同學，但有過一堂課共同上課過。他是個很棒的人，對科學話題會侃侃而談，滔滔不絕，令我印象深刻，一直記得他。,肯定會令他很感動。,驚訝,中性
我意思是，你現在在這裡，這比房間坐滿人還讓我更有感覺！。,你這個有病的變態，誰會去做那種事？我怎麼可能曾經對你傾心呢！。,你聽見了嗎？柯瑞·魏斯頓曾經對我一見鍾情過！,開心,開心
沒問題，我已理解。請提供你要我翻譯的英文句子，我將為您將它翻譯成繁體中文。,所以，遲了八天吧？,嗯。,中性,中性
所以，遲了八天吧？,嗯。,你一定挺不舒服的。,驚訝,中性
嗯。,你一定挺不舒服的。,嗯，差一點點而已。,中性,中性
你一定挺不舒服的。,嗯，差一點點而已。,你已百分之八十毀滅完畢，所以你正在前進。,中性,中性
如果你感到焦躁不安，有幾種方法可以試著緩解。,做吧！,其實這些都是可以做到的。只是些居家偏方，而我的經驗是其中一些還算蠻有效的。,中性,中性
我覺得很笨。,沒關係，不用照做，不用因為蘇珊做就一定要跟著做。,親愛的寶寶，你好，親愛的。,傷心,開心
我真的這麼認為。,好，我替你拿外套，然後我把你載到計程車上。,好，沒問題，我陪你一起去。,中性,傷心
好，我替你拿外套，然後我把你載到計程車上。,好，沒問題，我陪你一起去。,當然可以，我只是打個電話就行了。,中性,驚訝
謝謝。哎呀！老天爺！,什麼？！我怎麼，怎麼了？,我很抱歉，我實在無法這樣子去醫院。,驚訝,噁心
看吧，他贏了！是彼特贏了！,真的嗎？！,不行！,驚訝,恐懼
我們應該告訴瑞秋，她的隔壁房間正好空著嗎？,我們可以在裡面做愛。,好吧，讓我想想，同時我脫掉我的褲子吧！。,中性,開心
我想我簡直是渾蛋。,嗨，我陪在你身邊。他還問我，是不是認為你會跟他出去。,哎呀！我好像要吐了，你剛說些什麼？。,驚訝,噁心
嗨，我陪在你身邊。他還問我，是不是認為你會跟他出去。,哎呀！我好像要吐了，你剛說些什麼？。,我不同意。,中性,中性
哎呀！我好像要吐了，你剛說些什麼？。,我不同意。,什麼事啊？！,噁心,驚訝
你叫他們等一等！,沒問題，我已準備好協助您將英文句子翻譯成繁體中文。請提供欲翻譯的英文句子，我將立即為您服務。,艾蜜莉。,憤怒,中性
哎呀哎呀！哎呀！不！不！艾米莉！。,我知道了，你指的是那個不願意幫付修繕費的雜工之人。,沒關係。,憤怒,憤怒
我知道了，你指的是那個不願意幫付修繕費的雜工之人。,沒關係。,不，其實我以為大家反應的不公平，我意思是，人家才剛搬進來沒多久。,傷心,中性
嗯？,哎呀！我的號碼就在那兒，請打給我一聲。,我會打電話給你。,中性,中性
哎呀！我的號碼就在那兒，請打給我一聲。,我會打電話給你。,稍後我見。,開心,中性
謝謝你的幫忙，不用客氣。,當然，瑞秋從不在公共廁所裡大小便。,好吧，他們那裡從來不留紙張的。所以我的規則就是「沒紙巾，免強」。 好啦，既然大家都要來了。,中性,中性
我思考過這件事，我認為最好的辦法就是不要。,喬伊，你不能一直把這件事藏在心裡，既然知道了，就應該讓他知道。,這句英文話的意思是：「他一定會死。」其中「it」指的是「他」，「will」是未來式助動詞，「kill」是動詞，「him」是主詞。整句話的意思是：他一定會死亡。,中性,恐懼
嗨，你在這兒做什麼呢？,我們之前分手時，你拿到那捲錄有我們最後一集節目一半內容的錄影帶嗎？,哎呀，可是現在是蘇珊和我在墨西哥，還有人質要回來了。,中性,中性
我們之前分手時，你拿到那捲錄有我們最後一集節目一半內容的錄影帶嗎？,哎呀，可是現在是蘇珊和我在墨西哥，還有人質要回來了。,問什麼？,中性,中性
哎呀，可是現在是蘇珊和我在墨西哥，還有人質要回來了。,問什麼？,他正在睡覺。,中性,中性
問什麼？,他正在睡覺。,哎呀。 噢，這是個哎呀，是時間不好嗎？,中性,驚訝
他正在睡覺。,哎呀。 噢，這是個哎呀，是時間不好嗎？,嗯，其實蘇珊現在就要回來了，再過不久。這其實是我們的紀念日。,中性,開心
哎呀。 噢，這是個哎呀，是時間不好嗎？,嗯，其實蘇珊現在就要回來了，再過不久。這其實是我們的紀念日。,哎呀！我以為你們是在元月時結婚的呢。,驚訝,驚訝
嗯，其實蘇珊現在就要回來了，再過不久。這其實是我們的紀念日。,哎呀！我以為你們是在元月時結婚的呢。,這不是那種週年紀念日。,開心,中性
我們哪裡找得到那麼小的帽子呢？,哎呀，哎呀，我拿「雨天熊」啦！。,因為他會知道該怎麼做？？？？奧姆神啊，你真是個天才呢！。,中性,開心
哎呀，哎呀，我拿「雨天熊」啦！。,因為他會知道該怎麼做？？？？奧姆神啊，你真是個天才呢！。,天啊，天啊，竟然是這樣播了。,開心,恐懼
因為他會知道該怎麼做？？？？奧姆神啊，你真是個天才呢！。,天啊，天啊，竟然是這樣播了。,給我。,開心,中性
不好意思，這可不是我的錯。,怎麼了，怎麼會變成我的錯呢？。,看，在妳出現之前，卡羅從未把我從房間外趕走。,憤怒,憤怒
怎麼了，怎麼會變成我的錯呢？。,看，在妳出現之前，卡羅從未把我從房間外趕走。,是的，的確有很多事在小兒到來之前，媽媽從來沒做過。,驚訝,憤怒
所以，就停止一切咆哮，最好停止吧！,是的，蘇珊。,拜託你下次別再讓我處於這種情況，我不喜歡自己的聲音像這樣。,憤怒,憤怒
哦，原來沒提過？卡爾是我請來當我做醫學研究計畫的孿生兄弟的。,你知道有時候好點子明明就在眼前等著被發現嗎？,好吧，我知道聽起來很荒謬，但我覺得或許可行。你知道的，唯一的問題是卡爾的演技。,中性,中性
沒錯，他是我沒能像他那樣成功的原因。,嗨，我可以拿一點那個蛋糕嗎？。,我們愛吃比薩，快滾吧！,中性,憤怒
嗨莫妮卡，有位客人想為廚師加菜，我該讓他進來嗎？,我很喜歡這個部分！,進來吧。,中性,中性
真的？當下我也好想親你一口。,當下的這一刻，是耶。,不過僅限於那一刻，那你也想再親一次嗎？。,開心,開心
當下的這一刻，是耶。,不過僅限於那一刻，那你也想再親一次嗎？。,當然可以，跨年只剩兩個禮拜了，那也是挺令人期待的。,中性,中性
我也不。,3個蘋果和2個香蕉。,喬伊，我們親吻的時候不用每次都數下來。,中性,開心
3個蘋果和2個香蕉。,喬伊，我們親吻的時候不用每次都數下來。,嗯，嗯，好吧，除了我覺得我需要幾秒鐘時間準備一下，其餘都沒問題。,中性,開心
嗨喬伊，你若無堅不摧，會怎麼做呢？,大概會自殺了！,對不起？,中性,驚訝
大概會自殺了！,對不起？,嗨，小喬伊死了，那我就沒活下去的理由啦！,傷心,傷心
嗨，小喬伊死了，那我就沒活下去的理由啦！,喬伊，嗯？,你。,傷心,中性
你。,喬伊登臺了！,當然可以，我願意等到劇終。,中性,傷心
你好，Vic在哪兒？,航班在半小時後起飛，我得走了。,維奇！維奇！,中性,憤怒
維奇！維奇！,馬上就行！,這是什麼?維多利亞?,憤怒,傷心
馬上就行！,這是什麼?維多利亞?,嗯，大概是這樣。,憤怒,傷心
哪吒之怒！哪吒怒吼，海水翻騰，東海龍王怒吼，波濤洶湧，天上雲霞翻飛，人間兒女情長，千古傳唱，那吒之怒，亙古絕唱，非凡之戀，亙古長存。,看，我認為艾爾頓·強為那個在所述那個人所寫的那一首歌是〈Your Song〉。,那是〈Baby Shark〉。,中性,中性
看，我認為艾爾頓·強為那個在所述那個人所寫的那一首歌是〈Your Song〉。,那是〈Baby Shark〉。,嗨莫妮卡！,中性,開心
好吧，今晚一起去看戲吧。,我知道了，我不確定自己看那場性愛有多舒服。,嗯，我知道了。,中性,中性
我知道了，我不確定自己看那場性愛有多舒服。,嗯，我知道了。,哎呀不妙，我到了。,噁心,中性
嗨！,嗨女孩兒！想吃鬆餅嗎？,你做了鬆餅嗎？,驚訝,驚訝
嗨女孩兒！想吃鬆餅嗎？,你做了鬆餅嗎？,沒我錯！快拿一個盤子來。,開心,開心
不行，請停留在那裡。 正接近。,沒問題，我們還有穀物、鬆餅、鬆餅等早餐食品。,我們也在週六晚上看球賽，如果有人想來一起看也可以。,中性,中性
天哪！這個英文句子應該是「Oh my God」，意思是「的天啊」或「上帝啊」，用來表達驚訝、驚奇或急迫的情緒。,嗨！繼續為大家最愛的餐點排行榜大公開。今晚，第3名，起司馬鈴薯片與熱狗切塊配上馬鈴薯片。,你看夠了沒？夠了！現在就停下來吧。,驚訝,憤怒
嗨！繼續為大家最愛的餐點排行榜大公開。今晚，第3名，起司馬鈴薯片與熱狗切塊配上馬鈴薯片。,你看夠了沒？夠了！現在就停下來吧。,好啊，我把那捲錄音帶帶過來。今晚想聽些輕柔的音樂，心情好想放鬆一下呢。,中性,開心
你看夠了沒？夠了！現在就停下來吧。,好啊，我把那捲錄音帶帶過來。今晚想聽些輕柔的音樂，心情好想放鬆一下呢。,哎呀，混音帶。,憤怒,中性
好啊，我把那捲錄音帶帶過來。今晚想聽些輕柔的音樂，心情好想放鬆一下呢。,哎呀，混音帶。,你今晚的樣子,開心,開心
嗨！,嗨！,嘿，猜我今晚在做什麼呢。,開心,中性
嗨！,嘿，猜我今晚在做什麼呢。,什麼事？,開心,中性
嘿，猜我今晚在做什麼呢。,什麼事？,我與彼得正在查核那家餐廳。,中性,中性
什麼事？,我與彼得正在查核那家餐廳。,哎呀，莫妮卡，我好替妳開心。,中性,開心
哎呀。哇！。哎呀。小子，有人在做功課了。,耶。哦，而且我知道蓋爾·羅斯坦(Gail Rosten)的名字出現了兩次，但她就是這麼個個子小不點。,哦，我知道了。嗯，只是談論起來就讓我有點。,驚訝,中性
耶。哦，而且我知道蓋爾·羅斯坦(Gail Rosten)的名字出現了兩次，但她就是這麼個個子小不點。,哦，我知道了。嗯，只是談論起來就讓我有點。,哦，我也是。,中性,中性
哦，我知道了。嗯，只是談論起來就讓我有點。,哦，我也是。,然後，我們辦完典禮就應該坐上敞篷車，帶著你去參加酒會了！。,中性,開心
然後，我們辦完典禮就應該坐上敞篷車，帶著你去參加酒會了！。,羅斯，那在當時根本行不通。,不過，鴿子替你把戒指套在指頭上可不是問題嗎？。,開心,憤怒
